parameters,mean,std
y_new.1,25.425,1.293
y_new.2,26.563,1.254
y_new.3,28.817,1.295
y_new.4,29.102,1.277
y_new.5,28.141,1.297
y_new.6,29.513,1.272
y_new.7,30.421,1.270
y_new.8,27.830,1.266
y_new.9,30.887,1.283
y_new.10,26.914,1.276
y_new.11,26.940,1.287
y_new.12,26.906,1.314
y_new.13,27.186,1.290
y_new.14,27.604,1.279
y_new.15,27.027,1.284
y_new.16,27.408,1.251
y_new.17,27.166,1.285
y_new.18,28.603,1.289
y_new.19,28.403,1.281
y_new.20,28.308,1.263
y_new.21,28.084,1.268
y_new.22,28.565,1.299
y_new.23,28.608,1.303
y_new.24,28.149,1.246
y_new.25,28.184,1.282
y_new.26,28.083,1.288
y_new.27,28.150,1.301
y_new.28,28.250,1.294
y_new.29,28.167,1.293
y_new.30,28.082,1.281
y_new.31,28.062,1.252
y_new.32,28.091,1.266
y_new.33,28.198,1.291
y_new.34,30.253,1.300
y_new.35,30.220,1.287
y_new.36,30.264,1.311
y_new.37,30.545,1.278
y_new.38,30.231,1.288
