,a,b,sigma
count,400.0,400.0,400.0
mean,15.45766927562747,-4.222426809653871,1.3001174098924366
std,0.15216816902720418,0.12076043184861451,0.24521568761975826
min,14.98819653784895,-4.606598895374716,0.7587528803911144
25%,15.350831005137831,-4.302799652129599,1.1143811582633747
50%,15.454617313037726,-4.218278392138638,1.2673436221366154
75%,15.574475641128334,-4.138516862696392,1.4731499624040385
max,15.96210729326053,-3.7672708899270493,1.9109851262138116
