parameters,mean,std
y_new.1,21.30824252628642,1.6934962493024424
y_new.2,22.409226031242774,1.6579685405707574
y_new.3,24.026516776122545,1.6690257060440354
y_new.4,24.920776172797478,1.6603440981239879
y_new.5,26.782989634628553,1.6861880906080364
y_new.6,27.664168356088208,1.7092451537900992
y_new.7,25.98886089144979,1.6639395290901215
y_new.8,27.0148264614975,1.6532576480274113
y_new.9,29.399667298981846,1.7075417404356903
y_new.10,28.94258703136612,1.6683042026446167
y_new.11,25.75608675310282,1.6696903748388998
y_new.12,25.544990003633817,1.6516825944994047
