,a,b,sigma
count,400.0,400.0,400.0
mean,13.739779187740584,-4.539472158186229,1.5449781198987762
std,0.534711014196025,1.0523791745462825,0.23703761120234013
min,11.934027502733569,-7.206915588382729,0.8983091424861609
25%,13.37948702520885,-5.267687747200012,1.3645392747832492
50%,13.750810019889734,-4.49321092467678,1.5511378369376667
75%,14.100218147361522,-3.8011622891635435,1.7272906809687993
max,15.0933950585104,-1.2385449193195588,1.977678691073137
