,a,b,sigma
count,400.0,400.0,400.0
mean,19.45772920032667,-2.865491775051769,0.7988945868539407
std,1.2323169456563827,0.39347618824951724,0.09436574217528569
min,15.65174447432014,-4.096491776615072,0.573047212993177
25%,18.59078110094215,-3.1409315230367514,0.7374304483048946
50%,19.41063034838583,-2.8837231127424614,0.7913896078591293
75%,20.383400361067423,-2.5733852341341357,0.8582529171478275
max,22.53100459964655,-1.9141563675482236,1.186381071643916
