,a,b,sigma
count,400.0,400.0,400.0
mean,16.054672876873287,-3.956842357646533,1.2878343673191932
std,0.3153034720865928,0.17371478218280487,0.20582383302770638
min,15.118185094962875,-4.392161832684197,0.8545394740940592
25%,15.84305438828292,-4.087960253405319,1.1347213958166131
50%,16.054534737733416,-3.9526180498407384,1.2562017126811518
75%,16.29127505273434,-3.839385583657325,1.406893379774015
max,16.968202480376384,-3.4318312018549824,1.9110144571006846
