,a,b,sigma
count,400.0,400.0,400.0
mean,14.73607392476685,-4.007637186769387,1.611435861303637
std,0.4027336482265857,0.6635339428743335,0.24083298613104703
min,13.711394185429212,-6.162484227952431,0.9479188264326703
25%,14.449993590942364,-4.448141417533195,1.4525200345934475
50%,14.736922264361889,-3.970959247638935,1.634577970515644
75%,15.018055839326166,-3.5461045256943917,1.796371219309725
max,15.915453979653297,-2.1978251619848823,1.9985962449172383
