,a,b,sigma
count,400.0,400.0,400.0
mean,16.104107537100436,-3.382344174482297,1.0547191313659605
std,0.30788898691167604,0.5774436782697346,0.35452610625898207
min,15.120485737234576,-5.4004781814331455,0.3827825731233374
25%,15.909915510446963,-3.761081793459627,0.7850173943946849
50%,16.117441218236568,-3.392713926284932,0.9767328570037339
75%,16.28683793458434,-3.0052592946960353,1.267425978317581
max,16.8794436650243,-1.955218990643962,1.9942259045670985
