,a,b,sigma
count,400.0,400.0,400.0
mean,13.596200908837284,-3.7720575289741793,0.6706880101744366
std,0.8110294083713784,0.7136797103793482,0.2220752520132565
min,11.478702702411496,-6.6516454215698415,0.30226904907661195
25%,13.057482083639044,-4.215412286372016,0.5010124864118224
50%,13.656491038055634,-3.80400694909173,0.63949138665173
75%,14.079283212922713,-3.348479553833368,0.8009353209321695
max,16.459653153549862,-2.0879909139326687,1.7781636063078676
