,a,b,sigma
count,400.0,400.0,400.0
mean,16.325450346055298,-2.9310037587267095,1.0525349504392476
std,0.4586291681324989,0.8174625112831048,0.36369394438124936
min,14.73052611923642,-5.238499622338326,0.4220730741553577
25%,16.008652271445172,-3.445332347023386,0.7787344930553801
50%,16.332121317774543,-2.905135496093376,0.9923289092810079
75%,16.656270730111476,-2.476226705910002,1.2932323578662777
max,17.754597584437576,-0.39565128308987224,1.970311699841619
