,a,b,sigma
count,400.0,400.0,400.0
mean,16.99878074542921,-3.6523075170292585,0.843203582547595
std,0.7366668145002849,0.23630319958466986,0.11094062683105325
min,15.092651294791587,-4.25870730558984,0.579852646763021
25%,16.459040564702335,-3.8187033679643223,0.7553676055609605
50%,17.041055719054995,-3.642819022242671,0.8289339999584542
75%,17.560127201122423,-3.478334909439396,0.9132647548958986
max,18.979105188609378,-3.1253439377339878,1.2336465030563222
