,a,b,sigma
count,400.0,400.0,400.0
mean,16.27256139442825,-4.058157228180143,1.3000288687803212
std,0.5232442014848835,0.2836816097783114,0.19606078220441037
min,14.750598050995212,-4.8298444408332,0.7889516212326394
25%,15.94056123130439,-4.252657910864072,1.166925839830313
50%,16.262046393803615,-4.058333342743167,1.2775271017675398
75%,16.618746422050766,-3.876763048787271,1.4070488830255652
max,18.044619680390173,-3.338612289358481,1.917198557384959
