,a,b,sigma
count,400.0,400.0,400.0
mean,9.245108157168326,-2.770064435591374,0.3471917130948791
std,0.30932974047550693,0.10520459536967283,0.026875436404267414
min,8.461278371370838,-3.0505235747695125,0.28339909697748866
25%,9.024079946457535,-2.842952168362075,0.32803667515758356
50%,9.264693998492035,-2.7716169601567193,0.3466292359171158
75%,9.44233174644706,-2.6997780072713637,0.36260176280755696
max,10.014463496615093,-2.5081880199837157,0.4291232636343782
