,a,b,sigma
count,400.0,400.0,400.0
mean,17.85065661679042,-4.357808895143808,0.6183623564273737
std,1.263509200548381,0.4190572256780395,0.20345664815735748
min,14.18479706733768,-5.344942841561508,0.3317605722677233
25%,17.07017504354803,-4.6307406576503505,0.48580908382698035
50%,17.786647903984587,-4.337200285326645,0.5667072227073269
75%,18.693378433118117,-4.099688281325079,0.6939306057757559
max,20.836588810612298,-3.1261559446866762,1.3782879673302273
