parameters,mean,std
y_new.1,10.591374263360223,1.4775654112405905
y_new.2,13.09531499249477,1.522738847872688
y_new.3,7.347082944585495,1.4922905013708105
y_new.4,6.553596421190457,1.4924316674435425
y_new.5,5.155725085633511,1.4955720138027198
y_new.6,4.570664976993879,1.5113106675114338
y_new.7,3.465812518488057,1.4781878727453592
y_new.8,2.026597558509862,1.5417698259930552
y_new.9,8.64170316346432,1.4968976395338343
y_new.10,7.219848352815982,1.497840203269635
y_new.11,10.212353668307689,1.4541377820308772
y_new.12,9.42448950555257,1.4616847116465412
y_new.13,8.317594517093612,1.4904338409074032
y_new.14,7.4624999646977646,1.4945413631380056
y_new.15,9.939566406218862,1.4613873772318078
y_new.16,9.940226554676617,1.4874354116340676
y_new.17,7.633402097461028,1.451893133399466
y_new.18,11.740326876605097,1.4862376171104246
y_new.19,11.70951698382802,1.4671024398721937
y_new.20,12.850859806771915,1.4711896138007037
y_new.21,15.276775767399807,1.5016096666109957
y_new.22,10.396444364181496,1.4837304799098634
y_new.23,16.353649639305097,1.492558965605508
y_new.24,14.522170977541217,1.4773363591695419
y_new.25,12.25517795488349,1.4745826084349776
y_new.26,15.8617515050308,1.4938012741196578
y_new.27,15.396254269198478,1.4721999268623183
