,a,b,sigma
count,400.0,400.0,400.0
mean,14.427445526503453,-4.439790044944623,0.7119032942441796
std,0.5101201810938985,0.46182991742670054,0.211937105202674
min,13.19312573270297,-5.731064046119787,0.34645065723026436
25%,14.09352056641626,-4.762262839012887,0.5670358433225777
50%,14.426515590140617,-4.475517594776227,0.6627663206569621
75%,14.786190242729948,-4.123797842321876,0.8070528023296509
max,15.801557150500953,-2.9945418831860278,1.6343671159235156
