parameters,mean,std
y_new.1,23.783445041502613,1.0677754306372853
y_new.2,22.166723514311926,1.068381024676637
y_new.3,25.39731345715862,1.0533698663719169
y_new.4,27.13861521568432,1.0462173836565105
y_new.5,26.865933509935864,1.0086195982272497
y_new.6,29.001524201072353,1.0366817741640912
y_new.7,28.128631829646206,1.0441289927466928
y_new.8,27.022346087945326,1.019911271196318
y_new.9,25.217675075692263,1.0383027375692024
y_new.10,25.93174076181032,1.0205916769488013
y_new.11,26.596485306620917,1.0208784918314955
y_new.12,26.454610950370714,1.0289440841497792
y_new.13,28.810770979204857,1.0298635348888232
y_new.14,26.184057691460335,1.0367414813463836
y_new.15,27.29890457659672,1.004467032298587
y_new.16,25.792654914171596,1.006108721969638
y_new.17,28.30257991495475,1.0128483513002275
y_new.18,25.601811825486926,1.0165721013754248
y_new.19,29.651712933925076,1.0442942923290428
y_new.20,26.572249257861724,1.0174343371996306
y_new.21,29.17016737188259,1.027851496869901
y_new.22,30.342649267038205,1.0458774353786757
y_new.23,30.48386302874796,1.042483005093203
y_new.24,28.668038352663732,1.0632494834182942
y_new.25,29.14703604478833,1.0421386371966685
y_new.26,28.63362454399092,1.031866057513026
y_new.27,28.47258552337718,1.0214450874325176
y_new.28,31.297362573965525,1.0568919175657063
y_new.29,28.826644036366933,1.0392561526533652
y_new.30,31.64507161614571,1.075292078603045
y_new.31,29.408929853305423,1.0604581517737255
y_new.32,28.601692577891956,1.0387176743084394
