,a,b,sigma
count,400.0,400.0,400.0
mean,14.49678034481944,-4.4027618351822415,0.6264917878844924
std,0.1394505472446255,0.13288139658508288,0.09062147160199167
min,14.01608350171965,-4.776126929485377,0.4147970674458307
25%,14.405439950691882,-4.500064046512495,0.5608924276844061
50%,14.493104832854346,-4.403520166178655,0.6194710925543677
75%,14.581803847829262,-4.307860811078562,0.6822362269207665
max,14.904882170619725,-3.9638834314623703,0.9596042594061953
