parameters,mean,std
y_new.1,14.95649419323151,1.7410484759702256
y_new.2,16.28065229802919,1.759624831165376
y_new.3,16.57944128578675,1.7905220787562237
y_new.4,12.08410821413318,1.8053932519692804
y_new.5,12.448050505222628,1.7920255727125605
y_new.6,12.983311770261041,1.8038714543766512
y_new.7,17.601407114511673,1.8386612051395157
y_new.8,17.571069447012114,1.7794656317109767
y_new.9,14.934498225992966,1.7412088430911368
y_new.10,17.71882426842633,1.8185774540366215
y_new.11,15.672167135799558,1.752035633561704
