,a,b,sigma
count,400.0,400.0,400.0
mean,13.200559805861753,-4.937016360109195,1.131557222707415
std,1.9634173604611882,0.7606826954414845,0.30494116583887
min,7.832720040623709,-7.409281077479222,0.6286142416201763
25%,12.101109203139636,-5.363295266746788,0.9220891137695412
50%,13.207340079211754,-4.924163352742154,1.0620837098475686
75%,14.271770245408854,-4.5530314862586465,1.3065475907275956
max,19.562021629648225,-2.663955918691743,1.981761083743875
