parameters,mean,std
y_new.1,21.272732419052684,1.2833886485058041
y_new.2,22.36899557334744,1.2310077407339444
y_new.3,23.95451242311137,1.2062605549351215
y_new.4,24.902591223540938,1.1814952858987209
y_new.5,26.7762177175895,1.194753289220883
y_new.6,27.661494892198725,1.2139183078295366
y_new.7,25.95007951050979,1.1859022914077701
y_new.8,27.008023565128934,1.1951700484735834
y_new.9,29.439655301602446,1.2386418475099452
y_new.10,28.998292157556556,1.2330166104761449
y_new.11,25.74167359569705,1.203993763522015
y_new.12,25.52273128663524,1.172294259913738
