,a,b,sigma
count,400.0,400.0,400.0
mean,18.757884142852294,-3.9569787765651983,0.9801118386147593
std,0.15069123866309214,0.060194814118333856,0.06763056412191677
min,18.275920799629624,-4.089531194123537,0.8237830077044178
25%,18.663810237545306,-3.9998433384979037,0.9312473577557532
50%,18.748657600821538,-3.959200653153789,0.9788524165681165
75%,18.85570794665502,-3.9149441212092713,1.0270811601735392
max,19.208636696363566,-3.7777318642979143,1.2019118363532773
