parameters,mean,std
y_new.1,14.863863625209179,1.6922421674859178
y_new.2,16.33095794693734,1.6711870877973296
y_new.3,16.638176758298705,1.6976891559754064
y_new.4,11.998982296194649,1.7798434625577426
y_new.5,12.386831749341825,1.7418287157144583
y_new.6,13.020609370433561,1.7596443424773998
y_new.7,17.62305260681343,1.7626487202375831
y_new.8,17.558708957168136,1.7774315098675795
y_new.9,14.92264148522647,1.7080329910333125
y_new.10,17.773837555205468,1.730547513822112
y_new.11,15.673439080057166,1.6761007721385879
