,a,b,sigma
count,400.0,400.0,400.0
mean,16.569712495543644,-3.623757313194336,0.9968176585049924
std,0.6253399073784266,0.2033521042069303,0.13037948250219178
min,14.631808932443512,-4.261700733645263,0.6626513610148562
25%,16.19508178393277,-3.7409138148761993,0.907414851636923
50%,16.60243483495788,-3.6209478769070524,0.9873481202764747
75%,16.997751249718863,-3.4970138596625273,1.0824786473846948
max,18.07139009742254,-3.162782753180042,1.3788329542220936
