parameters,mean,std
y_new.1,25.486773721153003,0.874680590638254
y_new.2,26.60911648074745,0.8489404153198155
y_new.3,28.798069582675488,0.8419960601294117
y_new.4,29.099545483744265,0.8502430744978055
y_new.5,28.117342642365767,0.8755820315957589
y_new.6,29.487887634807173,0.8590260875277052
y_new.7,30.406966227968574,0.8568338235765125
y_new.8,27.836679407804557,0.8577244465435941
y_new.9,30.876954221920467,0.8559277389752347
y_new.10,26.905551273681173,0.8428312347804701
y_new.11,26.945420935914655,0.8689836544037327
y_new.12,26.921799923147198,0.8735493005896436
y_new.13,27.161444722569257,0.8634729266897645
y_new.14,27.61442160887287,0.860908950139137
y_new.15,27.01412017785478,0.8624667196930219
y_new.16,27.449802094982118,0.8387072310257245
y_new.17,27.13306258516678,0.8603626806762202
y_new.18,28.60483898522646,0.8649282179998938
y_new.19,28.386547262659274,0.8401557920301279
y_new.20,28.319901938214215,0.84230115563477
y_new.21,28.053315999072133,0.8263626590269142
y_new.22,28.53996415073966,0.8588844047499041
y_new.23,28.62286071505891,0.8387409392732719
y_new.24,28.145417101768913,0.8463126588004055
y_new.25,28.21420587048414,0.8525240055877787
y_new.26,28.109143369720762,0.8547000254587171
y_new.27,28.11479028280322,0.8432094175987114
y_new.28,28.272492222277926,0.8622788440746886
y_new.29,28.16256644066629,0.8474193316660839
y_new.30,28.05010791766119,0.8577872340457234
y_new.31,28.033505084253935,0.8545301951159189
y_new.32,28.092808662492118,0.8503727263993224
y_new.33,28.18058349747896,0.8553456028052728
y_new.34,30.241928843051326,0.8501031204802596
y_new.35,30.21294927046953,0.8614032909309167
y_new.36,30.21248522266671,0.8682074602422449
y_new.37,30.507172115030507,0.8765689427827525
y_new.38,30.220757518857884,0.8702480436734199
