,a,b,sigma
count,400.0,400.0,400.0
mean,18.41231692203472,-3.027263685574277,0.9708824529019242
std,1.0873170488839936,0.35340805143594956,0.12273340751258345
min,15.606613367142021,-3.9285897711452713,0.6883651426191725
25%,17.662867698048885,-3.256431235901802,0.8884149544771802
50%,18.51337528108653,-3.001007014682687,0.9592966329688224
75%,19.18948566401584,-2.779074907846534,1.0376125804064869
max,20.9486297874366,-2.1257729008624993,1.5675612144013717
