,a,b,sigma
count,400.0,400.0,400.0
mean,17.073798689665395,-3.6990065004316364,1.5680316348295238
std,0.1685610080344313,0.05130916528407994,0.17876759812831242
min,16.666742641156695,-3.830180229700926,1.0979037964418175
25%,16.96170956841761,-3.7319762759329307,1.4404640440737397
50%,17.0649632961212,-3.698881273420062,1.5412568570637126
75%,17.189339081394593,-3.665644687361511,1.6784999611134392
max,17.493836970082544,-3.5272052363484496,1.991906738770965
