,a,b,sigma
count,4000.0,4000.0,4000.0
mean,15.840568217096047,-4.007027721520431,1.9905524406352098
std,0.10900769574633919,0.04258727365886228,0.00881290375457475
min,15.493668411974927,-4.168792261868239,1.9307907705402212
25%,15.766840947829785,-4.035946692352848,1.9866388145202558
50%,15.8388519250928,-4.007269185924491,1.9931535549619555
75%,15.914057189202861,-3.9788393698194993,1.9969972732012693
max,16.18659704429759,-3.88306262690458,1.9999958684163173
