,a,b,sigma
count,400.0,400.0,400.0
mean,14.482402063238137,-4.4365363508146745,1.0568274976529213
std,1.0150970134146893,0.39854091917267664,0.2326497155026544
min,11.408966371891834,-5.559467835941768,0.575152885024897
25%,13.760885997914253,-4.700716381714107,0.8921897717798282
50%,14.523294857629242,-4.422638920384501,1.0188269884814365
75%,15.210656590745359,-4.193387071752552,1.1807172248674436
max,16.808978543097695,-3.422603965556214,1.7788371770182902
